series,p,subjective_prob
a 60-year-old,0.91,0.9133333333333332
a 60-year-old,0.93,0.9033333333333333
a 60-year-old,0.95,0.9366666666666666
a 60-year-old,0.97,0.9500000000000001
a 60-year-old,0.99,0.9233333333333333
a 85-year-old,0.01,0.005
a 85-year-old,0.03,0.005
a 85-year-old,0.05,0.005
a 85-year-old,0.07,0.005
a 85-year-old,0.09,0.005
a 85-year-old,0.11,0.005
a 85-year-old,0.13,0.005
a 85-year-old,0.15,0.005
a 85-year-old,0.17,0.005
a 85-year-old,0.19,0.005
a 85-year-old,0.21,0.01
a 85-year-old,0.23,0.006666666666666667
a 85-year-old,0.25,0.005
a 85-year-old,0.27,0.013333333333333334
a 85-year-old,0.29,0.013333333333333334
a 85-year-old,0.31,0.013333333333333334
a 85-year-old,0.33,0.013333333333333334
a 85-year-old,0.35,0.016666666666666666
a 85-year-old,0.37,0.016666666666666666
a 85-year-old,0.39,0.02
a 85-year-old,0.41,0.04
a 85-year-old,0.43,0.03666666666666667
a 85-year-old,0.45,0.05333333333333334
a 85-year-old,0.47,0.06333333333333334
a 85-year-old,0.49,0.03
a 85-year-old,0.51,0.12
a 85-year-old,0.53,0.17333333333333334
a 85-year-old,0.55,0.27666666666666667
a 85-year-old,0.57,0.2833333333333333
a 85-year-old,0.59,0.34
a 85-year-old,0.61,0.4633333333333334
a 85-year-old,0.63,0.49333333333333335
a 85-year-old,0.65,0.5599999999999999
a 85-year-old,0.67,0.5166666666666667
a 85-year-old,0.69,0.62
a 85-year-old,0.71,0.6733333333333333
a 85-year-old,0.73,0.6699999999999999
a 85-year-old,0.75,0.7266666666666667
a 85-year-old,0.77,0.7599999999999999
a 85-year-old,0.79,0.7833333333333333
a 85-year-old,0.81,0.8066666666666666
a 85-year-old,0.83,0.82
a 85-year-old,0.85,0.8466666666666667
a 85-year-old,0.87,0.89
a 85-year-old,0.89,0.9
a 85-year-old,0.91,0.9199999999999999
a 85-year-old,0.93,0.9199999999999999
a 85-year-old,0.95,0.93
a 85-year-old,0.97,0.9366666666666666
a 85-year-old,0.99,0.9366666666666666
a bisexual,0.01,0.005
a bisexual,0.03,0.005
a bisexual,0.05,0.005
a bisexual,0.07,0.005
a bisexual,0.09,0.005
